"Gemeinde_Nr","Ja_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Text_d","Text_f"
2121,96.283783784,"Haut-Intyamon FR","Haut-Intyamon (FR)","NA NA","Haut-Intyamon approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,3 pourcent de oui. Haut-Intyamon a approuvé le texte, tout comme son canton."
2122,95.990566038,"Pont-en-Ogoz FR","Pont-en-Ogoz (FR)","NA NA","A Pont-en-Ogoz, les habitants disent oui à 96 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Pont-en-Ogoz a approuvé le texte, tout comme son canton."
2123,94.262295082,"Botterens FR","Botterens (FR)","NA NA","Botterens approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 94,3 pourcent de oui. Botterens a approuvé le texte, tout comme son canton."
2124,94.967177243,"Broc FR","Broc (FR)","NA NA","A Broc, les habitants disent oui à 95 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Broc a approuvé le texte, tout comme son canton."
2125,96.267409471,"Bulle FR","Bulle (FR)","NA NA","Bulle approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,3 pourcent de oui. Bulle a approuvé le texte, tout comme son canton."
2128,94.029850746,"Châtel-sur-Montsalvens FR","Châtel-sur-Montsalvens (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Châtel-sur-Montsalvens. Les électeurs de cette petite commune sont 63 à approuver le texte et 4 à le refuser. Châtel-sur-Montsalvens a approuvé le texte, tout comme son canton."
2129,93.81443299,"Corbières FR","Corbières (FR)","NA NA","A Corbières, les habitants disent oui à 93,8 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Corbières a approuvé le texte, tout comme son canton."
2130,96.296296296,"Crésuz FR","Crésuz (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Crésuz. Les électeurs de cette petite commune sont 78 à approuver le texte et 3 à le refuser. Crésuz a approuvé le texte, tout comme son canton."
2131,93.49112426,"Echarlens FR","Echarlens (FR)","NA NA","C'est oui à 93,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Echarlens. Echarlens a approuvé le texte, tout comme son canton."
2134,97.252747253,"Grandvillard FR","Grandvillard (FR)","NA NA","A Grandvillard, les habitants disent oui à 97,3 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Grandvillard a approuvé le texte, tout comme son canton."
2135,95.704057279,"Greyerz FR","Gruyères (FR)","NA NA","C'est oui à 95,7 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Gruyères. Gruyères a approuvé le texte, tout comme son canton."
2137,96.226415094,"Hauteville FR","Hauteville (FR)","NA NA","A Hauteville, les habitants disent oui à 96,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Hauteville a approuvé le texte, tout comme son canton."
2138,89.51048951,"Jaun FR","Bellegarde (FR)","NA NA","C'est oui à 89,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Bellegarde. Bellegarde a approuvé le texte, tout comme son canton."
2140,96.700507614,"Marsens FR","Marsens (FR)","NA NA","A Marsens, les habitants disent oui à 96,7 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Marsens a approuvé le texte, tout comme son canton."
2143,97.350993377,"Morlon FR","Morlon (FR)","NA NA","Morlon approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 97,4 pourcent de oui. Morlon a approuvé le texte, tout comme son canton."
2145,96.590909091,"Le Pâquier FR","Le Pâquier (FR)","NA NA","Au Pâquier (FR), les habitants disent oui à 96,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Le Pâquier (FR) a approuvé le texte, tout comme son canton."
2147,92.957746479,"Pont-la-Ville FR","Pont-la-Ville (FR)","NA NA","Pont-la-Ville approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 93 pourcent de oui. Pont-la-Ville a approuvé le texte, tout comme son canton."
2148,97.573656846,"Riaz FR","Riaz (FR)","NA NA","A Riaz, les habitants disent oui à 97,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Riaz a approuvé le texte, tout comme son canton."
2149,95.859872611,"La Roche FR","La Roche (FR)","NA NA","C'est oui à 95,9 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à La Roche. La Roche a approuvé le texte, tout comme son canton."
2152,96.140350877,"Sâles FR","Sâles (FR)","NA NA","C'est oui à 96,1 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Sâles. Sâles a approuvé le texte, tout comme son canton."
2153,97.131147541,"Sorens FR","Sorens (FR)","NA NA","Sorens approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 97,1 pourcent de oui. Sorens a approuvé le texte, tout comme son canton."
2155,91.787439614,"Vaulruz FR","Vaulruz (FR)","NA NA","A Vaulruz, les habitants disent oui à 91,8 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Vaulruz a approuvé le texte, tout comme son canton."
2160,93.209876543,"Vuadens FR","Vuadens (FR)","NA NA","C'est oui à 93,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Vuadens. Vuadens a approuvé le texte, tout comme son canton."
2162,96.979865772,"Bas-Intyamon FR","Bas-Intyamon (FR)","NA NA","C'est oui à 97 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Bas-Intyamon. Bas-Intyamon a approuvé le texte, tout comme son canton."
2163,95.37366548,"Val-de-Charmey FR","Val-de-Charmey (FR)","NA NA","C'est oui à 95,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Val-de-Charmey. Val-de-Charmey a approuvé le texte, tout comme son canton."
2171,95.757575758,"Arconciel FR","Arconciel (FR)","NA NA","Arconciel approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 95,8 pourcent de oui. Arconciel a approuvé le texte, tout comme son canton."
2173,96.739130435,"Autigny FR","Autigny (FR)","NA NA","C'est oui à 96,7 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Autigny. Autigny a approuvé le texte, tout comme son canton."
2174,97.021276596,"Avry FR","Avry (FR)","NA NA","C'est oui à 97 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Avry. Avry a approuvé le texte, tout comme son canton."
2175,96.048632219,"Belfaux FR","Belfaux (FR)","NA NA","Belfaux approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96 pourcent de oui. Belfaux a approuvé le texte, tout comme son canton."
2177,96.478873239,"Chénens FR","Chénens (FR)","NA NA","A Chénens, les habitants disent oui à 96,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Chénens a approuvé le texte, tout comme son canton."
2183,96.649484536,"Corminboeuf FR","Corminboeuf (FR)","NA NA","A Corminboeuf, les habitants disent oui à 96,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Corminboeuf a approuvé le texte, tout comme son canton."
2186,93.913043478,"Cottens FR","Cottens (FR)","NA NA","A Cottens (FR), les habitants disent oui à 93,9 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Cottens (FR) a approuvé le texte, tout comme son canton."
2189,97.631578947,"Ependes FR","Ependes (FR)","NA NA","Ependes (FR) approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 97,6 pourcent de oui. Ependes (FR) a approuvé le texte, tout comme son canton."
2194,95.3125,"Ferpicloz FR","Ferpicloz (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Ferpicloz. Les électeurs de cette petite commune sont 61 à approuver le texte et 3 à le refuser. Ferpicloz a approuvé le texte, tout comme son canton."
2196,96.019780485,"Freiburg FR","Fribourg (FR)","NA NA","A Fribourg, les habitants disent oui à 96 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Fribourg a approuvé le texte, tout comme son canton."
2197,96.360485269,"Givisiez FR","Givisiez (FR)","NA NA","A Givisiez, les habitants disent oui à 96,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Givisiez a approuvé le texte, tout comme son canton."
2198,96.453900709,"Granges-Paccot FR","Granges-Paccot (FR)","NA NA","C'est oui à 96,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Granges-Paccot. Granges-Paccot a approuvé le texte, tout comme son canton."
2200,96.825396825,"Grolley FR","Grolley (FR)","NA NA","Grolley approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,8 pourcent de oui. Grolley a approuvé le texte, tout comme son canton."
2206,97.491995731,"Marly FR","Marly (FR)","NA NA","C'est oui à 97,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Marly. Marly a approuvé le texte, tout comme son canton."
2208,98.987341772,"Matran FR","Matran (FR)","NA NA","Matran approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 99 pourcent de oui. Matran a approuvé le texte, tout comme son canton."
2211,96.820349762,"Neyruz FR","Neyruz (FR)","NA NA","Neyruz (FR) approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,8 pourcent de oui. Neyruz (FR) a approuvé le texte, tout comme son canton."
2216,95.454545455,"Pierrafortscha FR","Pierrafortscha (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Pierrafortscha. Les électeurs de cette petite commune sont 42 à approuver le texte et 2 à le refuser. Pierrafortscha a approuvé le texte, tout comme son canton."
2217,99.300699301,"Ponthaux FR","Ponthaux (FR)","NA NA","Ponthaux approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 99,3 pourcent de oui. Ponthaux a approuvé le texte, tout comme son canton."
2220,96.496350365,"Le Mouret FR","Le Mouret (FR)","NA NA","Le Mouret approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,5 pourcent de oui. Le Mouret a approuvé le texte, tout comme son canton."
2225,94.366197183,"Senèdes FR","Senèdes (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Senèdes. Les électeurs de cette petite commune sont 67 à approuver le texte et 4 à le refuser. Senèdes a approuvé le texte, tout comme son canton."
2226,96.524064171,"Treyvaux FR","Treyvaux (FR)","NA NA","A Treyvaux, les habitants disent oui à 96,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Treyvaux a approuvé le texte, tout comme son canton."
2228,97.598425197,"Villars-sur-Glâne FR","Villars-sur-Glâne (FR)","NA NA","C'est oui à 97,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Villars-sur-Glâne. Villars-sur-Glâne a approuvé le texte, tout comme son canton."
2230,100,"Villarsel-sur-Marly FR","Villarsel-sur-Marly (FR)","NA NA","Résultat clair et net à Villarsel-sur-Marly. Les 33 électeurs de cette commune qui se sont rendus aux urnes dimanche acceptent tous la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Villarsel-sur-Marly a approuvé le texte, tout comme son canton."
2233,96.920289855,"Hauterive FR","Hauterive (FR)","NA NA","A Hauterive (FR), les habitants disent oui à 96,9 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Hauterive (FR) a approuvé le texte, tout comme son canton."
2234,95.454545455,"La Brillaz FR","La Brillaz (FR)","NA NA","A La Brillaz, les habitants disent oui à 95,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. La Brillaz a approuvé le texte, tout comme son canton."
2235,98.501872659,"La Sonnaz FR","La Sonnaz (FR)","NA NA","La Sonnaz approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 98,5 pourcent de oui. La Sonnaz a approuvé le texte, tout comme son canton."
2236,96.255760369,"Gibloux FR","Gibloux (FR)","NA NA","A Gibloux, les habitants disent oui à 96,3 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Gibloux a approuvé le texte, tout comme son canton."
2237,97.504456328,"Prez FR","Prez (FR)","NA NA","C'est oui à 97,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Prez. Prez a approuvé le texte, tout comme son canton."
2250,97.51552795,"Gurwolf FR","Courgevaux (FR)","NA NA","Courgevaux approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 97,5 pourcent de oui. Courgevaux a approuvé le texte, tout comme son canton."
2254,96.931216931,"Courtepin FR","Courtepin (FR)","NA NA","C'est oui à 96,9 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Courtepin. Courtepin a approuvé le texte, tout comme son canton."
2257,99.233716475,"Cressier FR","Cressier (FR)","NA NA","A Cressier (FR), les habitants disent oui à 99,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Cressier (FR) a approuvé le texte, tout comme son canton."
2258,99.371069182,"Fräschels FR","Fräschels (FR)","NA NA","Fräschels approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 99,4 pourcent de oui. Fräschels a approuvé le texte, tout comme son canton."
2259,95.897435897,"Galmiz FR","Galmiz (FR)","NA NA","C'est oui à 95,9 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Galmiz. Galmiz a approuvé le texte, tout comme son canton."
2260,88.118811881,"Gempenach FR","Champagny (FR)",,"A Champagny, les habitants disent oui à 88,1 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg."
2261,90.909090909,"Greng FR","Greng (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Greng. Les électeurs de cette petite commune sont 60 à approuver le texte et 6 à le refuser. Greng a approuvé le texte, tout comme son canton."
2262,97.075471698,"Gurmels FR","Cormondes (FR)","NA NA","C'est oui à 97,1 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Cormondes. Cormondes a approuvé le texte, tout comme son canton."
2265,95.954265611,"Kerzers FR","Chiètres (FR)","NA NA","Chiètres (FR) approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96 pourcent de oui. Chiètres (FR) a approuvé le texte, tout comme son canton."
2266,98.214285714,"Kleinbösingen FR","Kleinbösingen (FR)","NA NA","Kleinbösingen approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 98,2 pourcent de oui. Kleinbösingen a approuvé le texte, tout comme son canton."
2271,97.177419355,"Merlach FR","Meyriez (FR)","NA NA","A Meyriez, les habitants disent oui à 97,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Meyriez a approuvé le texte, tout comme son canton."
2272,96.561604585,"Misery-Courtion FR","Misery-Courtion (FR)","NA NA","C'est oui à 96,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Misery-Courtion. Misery-Courtion a approuvé le texte, tout comme son canton."
2274,97.777777778,"Muntelier FR","Montilier (FR)","NA NA","C'est oui à 97,8 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Montilier. Montilier a approuvé le texte, tout comme son canton."
2275,94.306199916,"Murten FR","Morat (FR)","NA NA","Morat approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 94,3 pourcent de oui. Morat a approuvé le texte, tout comme son canton."
2276,97.398843931,"Ried bei Kerzers FR","Ried bei Kerzers (FR)","NA NA","Ried bei Kerzers approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 97,4 pourcent de oui. Ried bei Kerzers a approuvé le texte, tout comme son canton."
2278,96.992481203,"Ulmiz FR","Ormey (FR)","NA NA","A Ormey, les habitants disent oui à 97 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Ormey a approuvé le texte, tout comme son canton."
2284,96.215704825,"Mont-Vully FR","Mont-Vully (FR)","NA NA","C'est oui à 96,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Mont-Vully. Mont-Vully a approuvé le texte, tout comme son canton."
2291,97.165991903,"Alterswil FR","Alterswil (FR)","NA NA","A Alterswil, les habitants disent oui à 97,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Alterswil a approuvé le texte, tout comme son canton."
2292,97.202797203,"Brünisried FR","Brünisried (FR)","NA NA","Brünisried approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 97,2 pourcent de oui. Brünisried a approuvé le texte, tout comme son canton."
2293,97.843413033,"Düdingen FR","Guin (FR)","NA NA","A Guin, les habitants disent oui à 97,8 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Guin a approuvé le texte, tout comme son canton."
2294,94.411764706,"Giffers FR","Chevrilles (FR)","NA NA","C'est oui à 94,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Chevrilles. Chevrilles a approuvé le texte, tout comme son canton."
2295,96.517954298,"Bösingen FR","Bösingen (FR)","NA NA","C'est oui à 96,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Bösingen. Bösingen a approuvé le texte, tout comme son canton."
2296,96.52173913,"Heitenried FR","Heitenried (FR)","NA NA","C'est oui à 96,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Heitenried. Heitenried a approuvé le texte, tout comme son canton."
2299,95.262483995,"Plaffeien FR","Planfayon (FR)","NA NA","C'est oui à 95,3 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Planfayon. Planfayon a approuvé le texte, tout comme son canton."
2300,94.897959184,"Plasselb FR","Plasselb (FR)","NA NA","A Plasselb, les habitants disent oui à 94,9 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Plasselb a approuvé le texte, tout comme son canton."
2301,97.426470588,"Rechthalten FR","Dirlaret (FR)","NA NA","C'est oui à 97,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Dirlaret. Dirlaret a approuvé le texte, tout comme son canton."
